ID,meta.userAgent,meta.platform,meta.language,meta.locale,meta.timeZone,meta.timezoneOffset,meta.screen_width,meta.screen_height,meta.scroll_width,meta.scroll_height,meta.window_innerWidth,meta.window_innerHeight,meta.devicePixelRatio,PROLIFIC_PID,framingCondition,sociodemo_gender,sociodemo_priorExperience,sociodemo_residency,sociodemo_education,feedback_critic,attCheck_text,sociodemo_universityAffiliation,sociodemo_universityField,reflection_ecological,reflection_social,reflection_economic,EcologicalDimension-1,EcologicalDimension-3,EcologicalDimension-4,EcologicalDimension-2,Bioinspiration-VRtN1,Bioinspiration-PN4,Bioinspiration-VRtN4r,Bioinspiration-IPI1,Bioinspiration-PN2r,Bioinspiration-VRtN2,Bioinspiration-IPI2r,Bioinspiration-PN3,Bioinspiration-IPI3,Bioinspiration-IPI4,Bioinspiration-VRtN3,Bioinspiration-PN1,evalInf-6,evalInf-5,evalInf-8,evalInf-2,evalInf-3,evalInf-4,evalInf-10,evalInf-7,evalInf-1,evalInf-9,GAToRS-4pp,GAToRS-3sp,GAToRS-4pn,GAToRS-5pp,GAToRS-1pp,GAToRS-3pp,GAToRS-4sp,GAToRS-2pn,GAToRS-2sp,GAToRS-1sn,GAToRS-3pn,GAToRS-5pn,GAToRS-1pn,GAToRS-4sn,GAToRS-5sn,GAToRS-5sp,GAToRS-2pp,GAToRS-1sp,GAToRS-3sn,GAToRS-2sn,dummy_informedconsent,commCheck,feedback_conscientiousCompletion,sociodemo_age,whichItemsFirst,socio_age,socio_sex,socio_ethnicity,socio_student,socio_employment,total_min_prolific
14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Europe/London,0,1344,840,1344,499,1344,752,2,661e5d8f5d79d99564543f26,bio-inspired,female,no,GB,level_3,Very interesting and thought provoking indeed. Thanks!,I read the instructions,no,,"The Soft Robot Worker would appear to operate in a way that is powerful and helpful, but minimally disruptive to it's environment - whilst requiring limited resources (energy, power, costs, potentially) in it's production and adaptation.","The Soft Robot Walker appears to offer an excellent solution for a very safe, energy saving and environmentally friendly working resource for all who might need it. The 3D printing capability for construction and adaption makes it much more accessible to a wider community. The compressed air source of power would be hugely beneficial to those with limited access to costly power sources.A",As stated in the answer to the previous question.,7,7,4,7,1,3,7,7,4,6,7,4,7,7,7,2,6,6,6,6,6,6,6,6,6,6,4,5,2,1,4,4,4,3,5,4,2,4,2,7,4,5,5,5,4,4,1,1,1,56,sustainable,56,Female,White,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",24.783333333333335
15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1536,864,1536,499,1536,730,1.25,5c2f6d25e38ccd0001caab19,bio-inspired,male,not_sure,GB,level_2,Intriguing,I read the instructions,no,,"The soft robot project would ease the burden of using non abundant materials and provide a reduced carbon footprint on production , sales and provide a better chance of recycling ",The soft robots materials appear to be more biodegradeable as opposed to tough plastics and fabrics and metals . the size is relatively smaller and more compact allowing for harder to reach places freeing up restrictions of space . There are generally less materials used in the production of the soft robot making it easier tp produce and in turn more sustainable . The soft robot would be safer to humans reducing hazards and would be less a burden on safety ethics . ,The soft robot project would be cost effective in terms of materials and rely on less power consumption reducing overheads and energy consumption . There would be more task  focussed jobs in creating new models at an affordable rate . It would encourage future projects in using less non sustainable materials .,6,6,5,6,4,4,6,5,3,5,5,3,6,5,5,4,4,4,4,5,4,5,4,4,4,4,5,3,3,5,5,4,6,4,6,4,3,4,3,5,4,6,5,6,5,4,1,1,1,48,bioinspired,48,Male,White,No,Other,32
17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-US,Europe/London,0,1366,768,1366,499,1366,607,1,59ba64d06039190001eaaefe,bio-inspired,female,yes_some,GB,level_4_5,,I read the instructions,no,,less use of electricity is a good thing. I'm not sure how it could ensure resilience of ecological processes ?,It could assist in the social care of patients.,It could allow disabled people to enter employment. It could aid people with limited mobility. ,7,7,7,7,6,6,5,7,4,7,6,4,6,7,6,5,5,4,6,6,5,5,5,4,4,4,2,5,5,2,4,3,6,7,6,5,6,5,6,6,4,5,6,7,5,6,1,1,1,64,sustainable,67,Female,White,No,Part-Time,19.533333333333335
18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1536,864,1536,499,1536,695,1.25,668aa0851622bf0930ff12fc,bio-inspired,female,no,GB,level_2,,i read the instrctions,no,,The soft robot doesnt use electricity and is instead operated on air which reinforces that it had ecological sustainment in mind when it was being made.,The soft robot walker relates to the social aspect of sustainability in that it is made with recycleable materials and its focus is that it can be used within a natural environment such as sand and its reusable functions such as using air pressure instead of electricity also links to this.,The use of sustainable materials and the lack of electricity use shows that it is economically positive and environmentally resourcesful.,7,7,7,7,6,6,5,6,6,6,6,6,7,6,6,6,5,4,4,5,5,3,4,2,3,3,3,5,3,3,3,5,5,3,5,7,5,6,3,7,6,5,5,5,7,5,1,1,1,21,sustainable,21,Female,White,No,Full-Time,24.316666666666666
19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-US,en-US,Europe/London,0,1280,720,1280,499,1280,585,1.5,5a0c4184fe645f0001e9f5dd,bio-inspired,female,no,GB,bachelors,,I read the instructions,no,,"The robot does not use electricity or electronics, so it not not need these resources to function. It only uses compressed air. The grippers are also energy efficient.","The robot could be used in lots of scientific scenarios that are currently not possible for other robots, and this could improve research and education into previously under-researched areas.","The components can be made with a 3D printer, so it does not cost a lost to manufacture the robot. Manufacturing robots of this kind could also provide jobs for people.",6,6,4,7,2,4,5,7,6,3,6,2,7,7,6,2,4,4,4,5,5,4,5,3,5,4,6,6,1,4,4,5,6,2,6,5,2,1,1,6,6,6,4,6,3,3,1,1,1,41,bioinspired,41,Female,White,No,Full-Time,25.083333333333332
20,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0,Win32,en-GB,en-GB,Europe/London,0,1536,864,1536,498,1536,702,1.25,5d2f85f28e588a0019164d77,bio-inspired,female,no,GB,level_3,Extremely interesting and informative and it is something I would like to learn more about,I read the instructions,no,,"It uses more ecological materials and uses less energy compared to hard robots, it is longer lasting and therefore, is better for the environment as well as saving money",Because it is longer lasting and more durable it is more versatile and can be used in lots of situations and at the same time it is using less energy than conventional robots. It could be used in situations where people need help or assistance and there are no human alternatives ,"It saves money on materials and is sustainable compared to conventional robots, it can be used in regular situations as well as risky or dangerous situations meaning it has many uses and can be incorporated in many situations and industries. It will provide employment for people to create them as well as economical benefits",6,7,7,7,5,4,5,7,4,4,7,5,6,7,6,5,6,6,6,6,6,6,6,6,6,5,7,4,1,5,6,5,7,4,7,4,1,1,1,7,6,5,5,7,4,3,1,1,1,64,bioinspired,64,Female,White,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",28.066666666666666
21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Europe/London,0,1470,956,1470,499,1470,832,2,5f653cb18aad310a9ee7c32d,tech-inspired,female,no,GB,masters,,I read the instructions,no,,"At the end of the day, this robot is not needed. Society has survived without such things. So really it has no place ecologically. Also making something un-necessary despite how more environmentally sustainable than other models, is still not environmentally friendly - as more environmental would be to not make the thing in the first place. ","I don't see how this relates really. Robotics is a new branch of science and will generate education, jobs etc",Firstly the soft robot is said to be more sustainable and durable so less likely to break or need replacing so I guess it has longevity in that aspect. I imagine such devices and development will lead to decent employment in the future. ,2,6,4,3,5,5,6,6,6,6,7,4,6,6,6,5,6,5,5,6,5,5,5,5,5,5,2,2,3,2,2,4,6,5,4,7,2,5,3,4,7,4,2,2,6,6,1,1,1,33,bioinspired,33,Female,White,DATA_EXPIRED,DATA_EXPIRED,17.7
22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",MacIntel,en-GB,en-GB,Europe/London,0,2240,1260,2240,241,2240,1041,2,5c922ee24faf8b00014ca145,bio-inspired,female,no,GB,bachelors,,I read the instructions,no,,"it uses less energy, which it better for emvioroment. its soft design also creates less waste and harm no nature.",it can help people walk more safely and feel more independent. it can improve quality of life and reduce the need for constant helo from others.,"it can save money by making tasks like walking support or cars easier and faster. It cane also create new jobs and use materials more efficiently, helping the economy in the long term.",6,6,5,5,2,4,4,6,5,3,4,3,6,5,4,3,3,3,2,4,2,3,3,3,3,2,3,4,5,3,3,3,5,5,5,6,5,5,4,5,4,4,3,5,5,5,1,1,1,43,sustainable,43,Female,White,No,Full-Time,20.833333333333332
23,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",Win32,en-US,en-US,Europe/London,0,1920,1080,1912,499,1912,948,1,67696e1e6cf66476feee240e,tech-inspired,male,no,GB,bachelors,,I read the instructions,no,,"Recycling ,energy effecient sustainable",This robot seems to be environmentally friendly and seems at will be used in a good way,Because it does not use electricity to operate it has to be environmentally friendly and sustainable,7,7,7,6,6,5,6,6,6,5,4,4,6,6,2,5,4,5,5,6,5,6,5,4,6,5,2,7,3,3,6,5,7,6,7,3,4,3,4,7,4,6,6,7,5,6,1,1,1,69,sustainable,69,Male,White,No,Other,31.15
25,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Europe/London,0,1728,1117,1728,499,1728,958,2,56d1f7f67bbc32000589a588,bio-inspired,female,no,GB,level_3,,I read the instructions,yes,Mathematics,"The soft robot greatly reduces environmental footprint in production, as 3D printing enables precise polymer material use, so producing only what is necessary, reducing manufacturing waste. Air pressure systems also reduce reliance on fossil fuel based systems, contributing to lower greenhouse gases. ","The robot's soft, malleable polymer-based structure make it much safer to use around people, as well as hazardous environments, such as contaminated sites or disaster zones. Overall, it reduces humans exposure to injury or illness. In addition, dangerous and demanding jobs often fall to low-income groups, hence, the robot helps reduce inequality by taking on these high risk tasks, promoting fairer labour conditions.","As the robot is made of malleable polymers, its parts can be 3D printed, hence, production costs are much lower than those of traditional metal-based robots. This reduces transportation and supply chain expenses. Additionally, air pressure power reduces reliance on other scarce energy storage systems. Due to its modularity, its flexibility encourages innovation, hence, new modules and tools can be developed for businesses to respond to changing economic demands.",6,7,6,7,2,2,5,7,7,6,7,4,7,7,7,3,6,5,5,6,6,6,6,6,5,6,4,6,4,4,2,3,4,3,7,2,6,2,1,6,6,6,6,6,5,5,1,1,1,22,sustainable,22,Female,Asian,Yes,Due to start a new job within the next month,31.916666666666668
26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",Win32,en-GB,en-GB,Europe/London,0,1366,768,1235,499,1235,564,1.100000023841858,5ace82e135eccf0001a11c96,bio-inspired,female,no,GB,bachelors,,I read the instructions,no,,"The soft robot won't use as many natural things such as metals, and can be used without energy, but the use of polymers in their construction is overall worse for the environment.","The soft robot might be able to help societies during a disaster, being able to get into small spaces to detect if anyone is trapped in a collapsed building, for example.  ",There will be job opportunities if the soft robot goes into production.,2,3,2,5,1,1,4,6,7,5,6,1,6,6,4,1,4,4,4,5,4,4,4,4,4,4,1,5,7,1,1,1,4,7,5,7,7,7,7,7,7,1,3,1,7,7,1,1,1,60,bioinspired,60,Female,White,DATA_EXPIRED,DATA_EXPIRED,29.183333333333334
27,"Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",Linux x86_64,en-US,en-US,Europe/London,0,1366,768,1366,499,1366,665,1,67696d49d386c9789b03b1da,bio-inspired,male,no,GB,bachelors,,I read the instructions,no,,The Soft Robot Walker can carry out work amongst animals without disturbing the natural environment or being a perceived danger to animals,The Soft Robot Walker would help all of society as would allow people to learn about the technology involved and increase the skills of the general population.,The Soft Robot Walker is using environmentally friendly parts and is printed at low cost.  It would allow work to be done in dangerous situations without danger to humans eg dealing with hazardous materials.,7,7,6,7,5,6,7,5,2,7,6,7,7,7,5,6,5,5,6,6,4,5,5,5,5,4,6,6,4,4,4,5,6,5,7,5,4,3,4,5,6,6,5,7,4,4,1,1,1,59,sustainable,59,Male,White,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",25.316666666666666
28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 OPR/125.0.0.0",Win32,en-GB,en-GB,Europe/London,0,1920,1080,1866,499,1866,947,1,5d4310bbd8e961001b825ca4,tech-inspired,male,no,GB,bachelors,"I found the written questions very difficult, sorry. Maybe down to the wording, I don't know. Anyway, good luck with the study.",I read the instructions,no,,I'm not sure it shows that it will make any ecological differences - it will develop over time but I think it far too early to decide how it will end up.,"I feel it needs extensive further development as U+I was surprised at how it both looked and performed - I'm struggling to understand the need for compressed air as opposed to a battery or batteries for example. Having said that, the video showed it picking up an apple so it could be used to deliver items to the elderly perhaps, although the items appear to need to be on the floor.
I think the aim should be for something much more human like as people can relate better to it than in the form it was presented - the various videos were 4 times speeded up and yet it still seemed slow and cumbersome.
I can relate to the different feet balancing on the sides but it didn't look particularly well balanced to me, sorry.","That will depend entirely on those who make/produce the walker - it might be nice to think they're in it for altruistic reasons but my instincts tell me they will want pure profit rather than anything remotely near break even. They will try and build as cheaply as possible and sell it for the highest price possible - they ight even go down the lease only route. I don't foresee any economic sustainability from it, sorry.",3,2,2,2,2,2,2,4,6,1,4,1,4,4,4,1,5,3,2,6,5,4,5,2,4,5,7,5,1,7,2,6,6,2,7,6,1,2,1,5,4,7,2,7,4,4,1,1,1,67,sustainable,67,Male,White,No,Full-Time,23.616666666666667
29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Win32,en,en-US,Europe/London,0,1280,720,1280,499,1280,579,1.25,5707c88f374137000fbc5aec,tech-inspired,male,no,GB,bachelors,,I read the instructions,no,,THE ROBOT DOES NOT USE ELECTRICITY AND HAS A MINIMAL NEED FOR PARTS. ,I THINK THAT THE ROBOT WOULD HELP PEOPLE IN CERTIAN SITUATIONS.,THE ROBOT IS EASY TO MANUFACTURE AND COULD BE MADE BY A WORKER AT HOME WITH A 3D PRINTER,6,7,6,6,3,2,2,1,7,3,3,1,3,4,3,3,4,5,5,6,6,6,5,4,4,5,5,3,3,1,4,5,7,5,5,6,3,4,4,5,5,5,6,5,3,6,1,1,1,70,sustainable,70,Male,White,No,Full-Time,22.2
30,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0,Win32,en-GB,en-GB,Europe/London,0,1366,768,1366,498,1366,589,1,65cbbbcc5c1ef8b850c91eb5,bio-inspired,male,no,GB,masters,,I read the instructions,no,,It may help test artificially created environments which can then be related or used to adapt natural habitats for species protection,The sfot robot may have applications in education. Because it emulates certain aspects of movement in the natural world it may find use as a teaching aid.,One downside of the soft robot may be its use of plastics which are harmful to the planet.,5,5,5,5,5,4,5,5,3,5,5,5,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,4,5,3,5,3,2,2,3,6,4,6,5,5,2,4,1,1,1,68,sustainable,68,Male,White,No,Part-Time,21.916666666666668
